Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice,Spot,VIX,DTE,Moneyness,ExpiryRank
2024-01-01,21150.0,2024-01-18,PE,3850,19,59.65,21741.900390625,14.579999923706056,17,0.9727760508515518,3.0
2024-01-01,21150.0,2024-01-25,CE,14150,84,792.15,21741.900390625,14.579999923706056,24,0.9727760508515518,4.0
2024-01-01,21150.0,2024-01-25,PE,60350,2030,91.2,21741.900390625,14.579999923706056,24,0.9727760508515518,4.0
2024-01-01,21150.0,2024-01-04,CE,25600,78,632.0,21741.900390625,14.579999923706056,3,0.9727760508515518,1.0
2024-01-01,21150.0,2024-01-18,CE,500,0,693.05,21741.900390625,14.579999923706056,17,0.9727760508515518,3.0
2024-01-01,22600.0,2024-01-11,CE,467450,36865,9.1,21741.900390625,14.579999923706056,10,1.0394675531557953,2.0
2024-01-01,21100.0,2024-01-04,CE,160300,375,671.5,21741.900390625,14.579999923706056,3,0.9704763438755435,1.0
2024-01-01,21100.0,2024-01-18,PE,35350,1192,58.75,21741.900390625,14.579999923706056,17,0.9704763438755435,3.0
2024-01-01,21050.0,2024-01-18,PE,3450,0,23.9,21741.900390625,14.579999923706056,17,0.968176636899535,3.0
2024-01-01,21050.0,2024-01-11,CE,3100,7,813.0,21741.900390625,14.579999923706056,10,0.968176636899535,2.0
2024-01-01,21050.0,2024-01-04,CE,8800,64,754.8,21741.900390625,14.579999923706056,3,0.968176636899535,1.0
2024-01-01,22400.0,2024-01-04,PE,5300,398,590.6,21741.900390625,14.579999923706056,3,1.0302687252517617,1.0
2024-01-01,21100.0,2024-01-11,PE,342050,22127,27.65,21741.900390625,14.579999923706056,10,0.9704763438755435,2.0
2024-01-01,21100.0,2024-01-04,PE,1871350,374818,4.7,21741.900390625,14.579999923706056,3,0.9704763438755435,1.0
2024-01-01,21100.0,2024-01-25,CE,215150,607,863.75,21741.900390625,14.579999923706056,24,0.9704763438755435,4.0
2024-01-01,22000.0,2024-01-11,CE,558700,70474,119.95,21741.900390625,14.579999923706056,10,1.0118710694436945,2.0
2024-01-01,21650.0,2024-01-25,PE,68550,3073,212.25,21741.900390625,14.579999923706056,24,0.9957731206116358,4.0
2024-01-01,21100.0,2024-01-25,PE,982450,11321,87.1,21741.900390625,14.579999923706056,24,0.9704763438755435,4.0
2024-01-01,21100.0,2024-01-11,CE,10000,128,804.95,21741.900390625,14.579999923706056,10,0.9704763438755435,2.0
2024-01-01,21800.0,2024-01-18,PE,28950,2254,226.7,21741.900390625,14.579999923706056,17,1.002672241539661,3.0
2024-01-01,21800.0,2024-01-18,CE,50250,2299,307.55,21741.900390625,14.579999923706056,17,1.002672241539661,3.0
